user,degree,closeness,betweenness,listed,followers,reply_sent,reply_recieved,mention_sent,mention_recieved,tweet_sent,tweet_recieved,score
Uber_Support,1.0,1.0,1.0,0.020191491004555633,0.027231936210680242,0.0,0.0,0.0,0.0,0.0,0.0,3.047423427215236
1975aregr8t,0.00037764350453172205,0.5019669551534225,0.0,0.0,1.7036565026980164e-06,0.0,0.0,0.0,0.0,1.0,1.0,2.5023463023144568
MrsKiraly,0.00037764350453172205,0.5019669551534225,0.0,0.0,3.223133924023274e-07,0.0,0.0,0.0,0.0,1.0,1.0,2.5023449209713466
ajb_neuk,0.00037764350453172205,0.5019669551534225,0.0,0.0,1.381343110295689e-07,0.0,0.0,0.6153846153846154,1.0,0.0,0.0,2.1177293521768807
Alex51354835,0.00037764350453172205,0.5019669551534225,0.0,0.0,4.604477034318963e-08,0.0,0.0,1.0,0.5652173913043478,0.0,0.0,2.067562036007072
SouravBharati,0.00037764350453172205,0.5019669551534225,0.0,0.0,4.604477034318963e-08,0.0,0.0,1.0,0.5652173913043478,0.0,0.0,2.067562036007072
BkChoudhary0707,0.0007552870090634442,0.0,0.0,0.0,7.367163254910341e-07,0.0,0.0,1.0,1.0,0.0,0.0,2.0007560237253887
John_ExWife,0.0,0.0,0.0,0.00042467763107095974,5.207663525814747e-05,0.0,0.0,0.0,0.0,1.0,1.0,2.0004767542663293
Deepthi59226703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
OscarLo31708097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
Yolo90069420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
MrCheezal_Lando,0.00037764350453172205,0.5019669551534225,0.0,7.72141147401745e-05,1.8417908137275853e-06,0.0,0.0,0.3076923076923077,1.0,0.0,0.0,1.8101159622558158
melvin01853968,0.00037764350453172205,0.5019669551534225,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,1.0,0.0,0.0,1.810036906350262
cammipham,0.00037764350453172205,0.5019669551534225,0.0,0.2319898077368543,0.04608114571176075,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0,1.7823185016784056
shop_greek_ish,0.00037764350453172205,0.5019669551534225,0.0,0.0,0.0,0.0,0.0,1.0,0.1826086956521739,0.0,0.0,1.6849532943101282
shirseendub,0.00037764350453172205,0.5019669551534225,0.0,0.0,4.604477034318963e-08,0.0,0.0,0.15384615384615385,1.0,0.0,0.0,1.6561907985488784
skaijackson,0.0022658610271903325,0.5027591884114434,0.0,0.010462512547293645,0.03309877666872809,0.0,0.0,0.07692307692307693,1.0,0.0,0.0,1.6255094155777323
cxmzsw,0.0,0.0,0.0,0.0,1.8417908137275853e-07,0.0,0.0,0.6153846153846154,1.0,0.0,0.0,1.6153847995636967
directedbydanya,0.00037764350453172205,0.5019669551534225,0.0,0.000926569376882094,1.114283442305189e-05,0.0,0.0,0.07692307692307693,1.0,0.0,0.0,1.5802053877923363
DwayneChapman,0.00037764350453172205,0.5019669551534225,0.0,0.00034746351633078526,3.840133846622015e-05,0.0,0.0,0.07692307692307693,1.0,0.0,0.0,1.579653540435828
andy_kastrati,0.00037764350453172205,0.5019669551534225,0.0,0.000154428229480349,3.476380160910817e-05,0.0,0.0,0.07692307692307693,1.0,0.0,0.0,1.5794568676121206
probablyaparent,0.00037764350453172205,0.5019669551534225,0.0,3.860705737008725e-05,3.821715938484739e-06,0.0,0.0,0.07692307692307693,1.0,0.0,0.0,1.5793101043543398
Persimonka,0.00037764350453172205,0.5019669551534225,0.0,0.0,4.6044770343189633e-07,0.0,0.0,0.07692307692307693,1.0,0.0,0.0,1.5792681360287346
BourneFresh,0.0,0.0,0.0,0.0005018917458111343,3.011327980444602e-05,0.0,0.0,1.0,0.5652173913043478,0.0,0.0,1.5657493963299633
rdb11012,0.0,0.0,0.0,0.0,2.4403728281890506e-06,0.0,0.0,1.0,0.5652173913043478,0.0,0.0,1.565219831677176
KK66650581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5652173913043478,0.0,0.0,1.5652173913043477
M00NxBEAST,0.00037764350453172205,0.5019669551534225,0.0,3.860705737008725e-05,1.1971640289229304e-06,0.022835394862036156,1.0,0.0,0.0,0.0,0.0,1.5252197977413893
jaredfowler19,0.00037764350453172205,0.5019669551534225,0.0,0.0,2.3022385171594817e-07,0.022835394862036156,1.0,0.0,0.0,0.0,0.0,1.525180223743842
beswick_donna,0.00037764350453172205,0.5019669551534225,0.0,0.0,9.208954068637926e-08,0.022835394862036156,1.0,0.0,0.0,0.0,0.0,1.525180085609531
sarahwarhol19,0.00037764350453172205,0.5019669551534225,0.0,0.0,4.604477034318963e-08,0.022835394862036156,1.0,0.0,0.0,0.0,0.0,1.5251800395647606
rosieellensays,0.00037764350453172205,0.5019669551534225,0.0,0.01868581576712223,4.0151039739261356e-05,0.0009514747859181732,1.0,0.0,0.0,0.0,0.0,1.522022040250734
CyrusNowrasteh,0.0015105740181268886,0.5023622047244095,0.0,0.00011582117211026175,4.9636262429958424e-05,1.0,0.017384731670445956,0.0,0.0,0.0,0.0,1.5214229678475224
JackRonan,0.00037764350453172205,0.5019669551534225,0.0,7.72141147401745e-05,1.8463952907619042e-05,1.0,0.017384731670445956,0.0,0.0,0.0,0.0,1.5198250083960478
travisFTN,0.0033987915407854992,0.5023622047244095,0.006836083699815543,7.72141147401745e-05,3.867760708827929e-06,0.0028544243577545195,1.0,0.0,0.0,0.0,0.0,1.515532586198214
Railajunior,0.00037764350453172205,0.5019669551534225,0.0,0.0011582117211026174,0.010480756670287167,1.0,0.0011337868480725624,0.0,0.0,0.0,0.0,1.5151173538974165
brewnas,0.0015105740181268886,0.5019669551534225,0.0025183232947080525,0.006331557408694309,0.00012072938783984321,1.0,0.0007558578987150416,0.0,0.0,0.0,0.0,1.5132039971615066
taramcbride15,0.00037764350453172205,0.5019669551534225,0.0,0.0,4.604477034318963e-08,0.009514747859181731,1.0,0.0,0.0,0.0,0.0,1.5118593925619064
chanangad,0.0015105740181268886,0.5019669551534225,0.0007389444763911013,0.0,3.131044383336895e-06,0.007611798287345386,1.0,0.0,0.0,0.0,0.0,1.5118314029796691
Emmonspired,0.0015105740181268886,0.5020986358866737,3.140412243872025e-05,0.005211952744961779,0.00018790870777055687,1.0,0.0026455026455026454,0.0,0.0,0.0,0.0,1.5116859781254741
TheZain_Kapadia,0.0011329305135951663,0.5035516969218626,0.001232733338852685,0.0,1.0129849475501718e-06,0.005708848715509039,1.0,0.0,0.0,0.0,0.0,1.511627222474767
baldgalnaj,0.00037764350453172205,0.5022320490264773,3.042726153308391e-05,0.0002702494015906107,4.121006945715472e-05,0.008563273073263558,1.0,0.0,0.0,0.0,0.0,1.5115148523368536
vm_sandeep,0.00037764350453172205,0.5022303857255314,0.0006072818630039245,0.0,1.8417908137275853e-06,0.007611798287345386,1.0,0.0,0.0,0.0,0.0,1.5108289511712263
yur,0.0007552870090634442,0.5019669551534225,0.0012373571471393638,0.0,0.0,1.0,0.006424792139077854,0.0,0.0,0.0,0.0,1.5103843914487032
ahmedeljefe,0.0007552870090634442,0.5019669551534225,4.360900042939597e-05,0.0,4.144029330887067e-07,0.007611798287345386,1.0,0.0,0.0,0.0,0.0,1.5103780638531938
jeebz_19,0.00037764350453172205,0.5019669551534225,0.0,0.0,2.762686220591378e-07,0.007611798287345386,1.0,0.0,0.0,0.0,0.0,1.5099566732139218
Rachel25558900,0.00037764350453172205,0.5019669551534225,0.0,0.0,0.0,0.007611798287345386,1.0,0.0,0.0,0.0,0.0,1.5099563969452996
riyakumar2001,0.003021148036253777,0.5020986358866737,0.003108515975193169,0.0,4.604477034318963e-06,1.0,0.0015117157974300832,0.0,0.0,0.0,0.0,1.5097446201725848
rodrigosabato,0.0026435045317220545,0.5019669551534225,0.0037861077033805464,0.0,9.208954068637926e-08,1.0,0.0007558578987150416,0.0,0.0,0.0,0.0,1.5091525173767808
GeorgeAlvinNYC,0.00037764350453172205,0.5019669551534225,0.0,0.004941703343371168,0.0008565248179240136,0.0009514747859181732,1.0,0.0,0.0,0.0,0.0,1.5090943016051677
corenacharles,0.00037764350453172205,0.5019669551534225,0.0,0.0,0.0,0.006660323501427212,1.0,0.0,0.0,0.0,0.0,1.5090049221593813
REBECCA65446650,0.00037764350453172205,0.5019669551534225,0.0,0.0,0.0,0.006660323501427212,1.0,0.0,0.0,0.0,0.0,1.5090049221593813
SteveCoppinger1,0.0018882175226586106,0.5019669551534225,0.0041187711984646035,0.0,0.0,0.0009514747859181732,1.0,0.0,0.0,0.0,0.0,1.508925418660464
Tailynnrenee,0.00037764350453172205,0.5019669551534225,0.0,0.0,4.282163641916636e-06,1.0,0.006424792139077854,0.0,0.0,0.0,0.0,1.508773672960674
harman973,0.00037764350453172205,0.5019669551534225,0.0,0.0,4.604477034318963e-08,1.0,0.006424792139077854,0.0,0.0,0.0,0.0,1.5087694368418023
beckybabyxxxo,0.00037764350453172205,0.5019669551534225,0.0,0.0,4.604477034318963e-08,1.0,0.006424792139077854,0.0,0.0,0.0,0.0,1.5087694368418023
thekimberleyash,0.0026435045317220545,0.5024940929377789,0.001267784408672485,0.0002702494015906107,1.4596192198791114e-05,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0,1.508593177043799
RonBoone11,0.0018882175226586106,0.5020986358866737,0.0025057927964156146,0.0,2.3022385171594817e-07,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0,1.508395826001436
themilkyoneja,0.00037764350453172205,0.5019669551534225,0.0,0.003976526909118987,0.0008765082482529578,0.0009514747859181732,1.0,0.0,0.0,0.0,0.0,1.5081491086012444
Ishieta,0.00037764350453172205,0.5019669551534225,0.0,0.0018917458111342752,6.690305130865453e-05,0.003805899143672693,1.0,0.0,0.0,0.0,0.0,1.50810914666407
SQuentavius,0.00037764350453172205,0.5019669551534225,0.0,0.0,4.604477034318963e-08,0.005708848715509039,1.0,0.0,0.0,0.0,0.0,1.5080534934182337
yunjin97637781,0.00037764350453172205,0.5019669551534225,0.0,0.0,0.0,0.005708848715509039,1.0,0.0,0.0,0.0,0.0,1.5080534473734633
saadnabs,0.0011329305135951663,0.5019669551534225,0.0016467704067016215,0.00019303528685043624,5.663506752212325e-06,0.0028544243577545195,1.0,0.0,0.0,0.0,0.0,1.5077997792250764
Abel_Seloane,0.0007552870090634442,0.5019669551534225,0.0012367059065356062,0.0013512470079530537,0.000487568073164035,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0,1.507700712721975
RJdaboy,0.0011329305135951663,0.5019669551534225,0.00064845459449903,3.860705737008725e-05,6.151581317850135e-05,0.003805899143672693,1.0,0.0,0.0,0.0,0.0,1.507654362275738
dacy_essex,0.00037764350453172205,0.5022320490264773,0.0004107157407697689,0.001698710524283839,4.309790504122549e-05,0.0028544243577545195,1.0,0.0,0.0,0.0,0.0,1.5076166410588585
saradianebrown,0.00037764350453172205,0.5019669551534225,0.0,0.002200602270094973,4.231514394539127e-05,0.0028544243577545195,1.0,0.0,0.0,0.0,0.0,1.5074419404297492
CorinneAselin,0.003021148036253777,0.5027580772261624,0.0012360546659318486,0.0,2.53246236887543e-06,1.0,0.0003779289493575208,0.0,0.0,0.0,0.0,1.5073957413400743
ArvindNarayana2,0.0011329305135951663,0.5035516969218626,0.0006570021274233362,0.0,1.381343110295689e-06,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0,1.5072459604778279
KillaTart,0.00037764350453172205,0.5019669551534225,0.0,0.0,3.821715938484739e-06,0.004757373929590866,1.0,0.0,0.0,0.0,0.0,1.5071057943034836
Bo7mooh,0.00037764350453172205,0.5019669551534225,0.0,0.0,2.3482832875026714e-06,0.004757373929590866,1.0,0.0,0.0,0.0,0.0,1.5071043208708326
WithLoveEmilyM,0.00037764350453172205,0.5019669551534225,0.0,0.0,9.208954068637927e-07,0.004757373929590866,1.0,0.0,0.0,0.0,0.0,1.5071028934829518
SxFHBUffxT0OmU4,0.00037764350453172205,0.5019669551534225,0.0,0.0,4.604477034318963e-08,0.004757373929590866,1.0,0.0,0.0,0.0,0.0,1.5071020186323154
AquariusGiants1,0.00037764350453172205,0.5019669551534225,0.0,0.003397421048567678,3.094208567062343e-05,1.0,0.0011337868480725624,0.0,0.0,0.0,0.0,1.506906748640265
mercerch,0.00037764350453172205,0.5019669551534225,0.0,0.0025480657864257582,5.465514239736609e-05,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0,1.5068502691586136
tallulahlucy,0.00037764350453172205,0.5019669551534225,0.0,0.0034746351633078523,7.37176773194466e-05,0.0009514747859181732,1.0,0.0,0.0,0.0,0.0,1.5068444262844998
PaulSey06641252,0.0007552870090634442,0.5019669551534225,0.0012373571471393638,0.0,0.0,0.0028544243577545195,1.0,0.0,0.0,0.0,0.0,1.50681402366738
sara_segundo,0.0007552870090634442,0.5020986358866737,0.0,3.860705737008725e-05,1.749701273041206e-06,0.003805899143672693,1.0,0.0,0.0,0.0,0.0,1.5067001787980532
makaylabez,0.00037764350453172205,0.5022320490264773,4.360900042939597e-05,7.72141147401745e-05,8.656416824519651e-06,0.003805899143672693,1.0,0.0,0.0,0.0,0.0,1.506545071206676
kelona_renee,0.00037764350453172205,0.5019669551534225,0.0,0.0,1.0774476260306373e-05,1.0,0.0041572184429327285,0.0,0.0,0.0,0.0,1.5065125915771473
Menna52743306,0.00037764350453172205,0.5019669551534225,0.0,0.0,0.0,1.0,0.0041572184429327285,0.0,0.0,0.0,0.0,1.506501817100887
HaydnSchneider,0.00037764350453172205,0.5019669551534225,0.0,0.0006563199752914833,0.002453909990669948,0.0009514747859181732,1.0,0.0,0.0,0.0,0.0,1.5064063034098338
JasonGehrmann,0.00037764350453172205,0.5019669551534225,0.0,0.003049957532236893,9.254998838981116e-06,0.0009514747859181732,1.0,0.0,0.0,0.0,0.0,1.5063552859749483
KevinHank777,0.0011329305135951663,0.5019669551534225,0.0024747142942787275,0.0,3.223133924023274e-07,1.0,0.0007558578987150416,0.0,0.0,0.0,0.0,1.5063307801734038
SwatiSr78281405,0.0015105740181268886,0.5019669551534225,0.0009362703793296939,0.0,4.604477034318963e-08,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0,1.5063167951674856
miss_nightowl,0.0015105740181268886,0.5019669551534225,0.0010252697905156311,0.0010037834916222686,5.3089620205697644e-05,1.0,0.0007558578987150416,0.0,0.0,0.0,0.0,1.5063155299726079
iamcalliegray,0.00037764350453172205,0.5019669551534225,0.0,0.000154428229480349,6.2160439963306006e-06,0.003805899143672693,1.0,0.0,0.0,0.0,0.0,1.5063111420751034
duelking13,0.0011329305135951663,0.5019669551534225,0.001267784408672485,0.0,2.53246236887543e-06,0.0019029495718363464,1.0,0.0,0.0,0.0,0.0,1.5062731521098955
MikeAll00411088,0.003021148036253777,0.5027580772261624,3.3683464551871705e-05,0.0,0.0,1.0,0.0003779289493575208,0.0,0.0,0.0,0.0,1.5061908376763256
RTraductor,0.00037764350453172205,0.5019669551534225,0.0,3.860705737008725e-05,1.7036565026980164e-06,0.003805899143672693,1.0,0.0,0.0,0.0,0.0,1.5061908085154996
MelyMelsZ,0.00037764350453172205,0.5019669551534225,0.0,3.860705737008725e-05,1.2892535696093097e-06,0.003805899143672693,1.0,0.0,0.0,0.0,0.0,1.5061903941125667
suziebasak,0.0007552870090634442,0.5019669551534225,0.0006072818630039245,0.0,1.1511192585797408e-06,0.0028544243577545195,1.0,0.0,0.0,0.0,0.0,1.506185099502503
vali05,0.00037764350453172205,0.5019669551534225,0.0,0.0,2.6705966799049986e-06,0.003805899143672693,1.0,0.0,0.0,0.0,0.0,1.5061531683983067
findsomebzness,0.00037764350453172205,0.5019669551534225,0.0,0.0,6.446267848046548e-07,0.003805899143672693,1.0,0.0,0.0,0.0,0.0,1.5061511424284117
Edwardw83,0.00037764350453172205,0.5019669551534225,0.0,0.0,2.762686220591378e-07,0.003805899143672693,1.0,0.0,0.0,0.0,0.0,1.506150774070249
4dpeople1,0.00037764350453172205,0.5019669551534225,0.0,0.0,9.208954068637926e-08,0.003805899143672693,1.0,0.0,0.0,0.0,0.0,1.5061505898911676
jennyhall3008,0.00037764350453172205,0.5019669551534225,0.0,0.0,9.208954068637926e-08,0.003805899143672693,1.0,0.0,0.0,0.0,0.0,1.5061505898911676
WonderWheeled,0.00037764350453172205,0.5019669551534225,0.0,0.0,4.604477034318963e-08,0.003805899143672693,1.0,0.0,0.0,0.0,0.0,1.5061505438463971
danemartin110,0.00037764350453172205,0.5019669551534225,0.0,0.0,0.0,0.003805899143672693,1.0,0.0,0.0,0.0,0.0,1.506150497801627
Bj10633103,0.00037764350453172205,0.5019669551534225,0.0,0.0,0.0,0.003805899143672693,1.0,0.0,0.0,0.0,0.0,1.506150497801627
CVREENSWORLD,0.00037764350453172205,0.5022320490264773,0.000615422370550894,0.0,0.0,0.0028544243577545195,1.0,0.0,0.0,0.0,0.0,1.5060795392593145
jeremyking05,0.00037764350453172205,0.5019669551534225,0.0,0.0025866728437958456,0.0001571968459516494,0.0009514747859181732,1.0,0.0,0.0,0.0,0.0,1.50603994313362
sunil19sandy,0.0015105740181268886,0.5019669551534225,0.0015663456634651407,0.0,1.4734326509820682e-06,0.0009514747859181732,1.0,0.0,0.0,0.0,0.0,1.5059968230535836
